datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,AEP-C,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,AEP-P,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,ALEX,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,ALTE,-1052.0,226.0,-1278.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,ALTW,-353.0,0.0,-353.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,ALWX,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,AMIL,1115.0,58.0,1057.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,APS,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,CIN,-654.0,0.0,-654.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,CPLE,754.0,0.0,754.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,CPLW,-294.0,0.0,-294.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,CWLP,-64.0,0.0,-64.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,DUK,-335.0,-558.0,223.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,FE,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,HUDS,0.0,0.0,0.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,IPL,-8.0,0.0,-8.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,LAGN,0.0,1015.0,-1015.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,LGEE,294.0,270.0,24.0
2014-07-17 04:00:00,2014-07-17 00:00:00,2014-07-17 05:00:00,2014-07-17 01:00:00,LIND,-65.0,-65.0,0.0
