datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,ALTE,-709.0,-650.0,59.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,ALTW,-301.0,0.0,301.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,AMIL,713.0,58.0,-655.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,CIN,-1104.0,291.0,1395.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,CPLE,1430.0,3.0,-1427.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,CPLW,-158.0,0.0,158.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,CWLP,-23.0,0.0,23.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,DUK,23.0,333.0,310.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,HUDS,-65.0,-65.0,0.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,IPL,5.0,350.0,345.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,LAGN,0.0,343.0,343.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,LGEE,424.0,284.0,-140.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,LIND,-207.0,-207.0,0.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,MEC,-399.0,-652.0,-253.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,MECS,61.0,350.0,289.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,NEPT,-547.0,-547.0,0.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,NIPS,-597.0,0.0,597.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,NYIS,-863.0,-820.0,43.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,OVEC,751.0,515.0,-236.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,SIGE,2.0,0.0,-2.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,TVA,757.0,1046.0,289.0
2015-01-19 05:00:00,2015-01-19 00:00:00,2015-01-19 06:00:00,2015-01-19 01:00:00,WEC,1306.0,-90.0,-1396.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,ALTE,-697.0,-650.0,47.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,ALTW,-292.0,0.0,292.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,AMIL,762.0,58.0,-704.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,CIN,-1101.0,366.0,1467.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,CPLE,1309.0,3.0,-1306.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,CPLW,-168.0,0.0,168.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,CWLP,-22.0,0.0,22.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,DUK,-23.0,226.0,249.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,HUDS,-64.0,-64.0,0.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,IPL,10.0,200.0,190.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,LAGN,0.0,317.0,317.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,LGEE,426.0,284.0,-142.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,LIND,-291.0,-291.0,0.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,MEC,-371.0,-652.0,-281.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,MECS,228.0,450.0,222.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,NEPT,-491.0,-491.0,0.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,NIPS,-663.0,0.0,663.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,NYIS,-683.0,-653.0,30.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,OVEC,754.0,515.0,-239.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,SIGE,2.0,0.0,-2.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,TVA,692.0,962.0,270.0
2015-01-19 06:00:00,2015-01-19 01:00:00,2015-01-19 07:00:00,2015-01-19 02:00:00,WEC,1198.0,-90.0,-1288.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,ALTE,-728.0,-650.0,78.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,ALTW,-288.0,0.0,288.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,AMIL,796.0,58.0,-738.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,CIN,-1144.0,321.0,1465.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,CPLE,1263.0,3.0,-1260.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,CPLW,-172.0,0.0,172.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,CWLP,-26.0,0.0,26.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,DUK,-34.0,211.0,245.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,HUDS,-64.0,-64.0,0.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,IPL,-25.0,195.0,220.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,LAGN,0.0,143.0,143.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,LGEE,406.0,287.0,-119.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,LIND,-206.0,-206.0,0.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,MEC,-408.0,-652.0,-244.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,MECS,249.0,450.0,201.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,NEPT,-381.0,-381.0,0.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,NIPS,-704.0,0.0,704.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,NYIS,-730.0,-754.0,-24.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,OVEC,779.0,515.0,-264.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,SIGE,2.0,0.0,-2.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,TVA,590.0,950.0,360.0
2015-01-19 07:00:00,2015-01-19 02:00:00,2015-01-19 08:00:00,2015-01-19 03:00:00,WEC,1135.0,-90.0,-1225.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,ALTE,-697.0,-650.0,47.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,ALTW,-251.0,0.0,251.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,AMIL,841.0,58.0,-783.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,CIN,-1178.0,331.0,1509.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,CPLE,1189.0,3.0,-1186.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,CPLW,-180.0,0.0,180.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,CWLP,-23.0,0.0,23.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,DUK,-70.0,226.0,296.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,HUDS,-64.0,-64.0,0.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,IPL,-31.0,160.0,191.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,LAGN,0.0,143.0,143.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,LGEE,376.0,290.0,-86.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,LIND,-204.0,-204.0,0.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,MEC,-373.0,-652.0,-279.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,MECS,367.0,450.0,83.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,NEPT,-347.0,-347.0,0.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,NIPS,-785.0,0.0,785.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,NYIS,-625.0,-634.0,-9.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,OVEC,773.0,515.0,-258.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,SIGE,1.0,0.0,-1.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,TVA,563.0,1046.0,483.0
2015-01-19 08:00:00,2015-01-19 03:00:00,2015-01-19 09:00:00,2015-01-19 04:00:00,WEC,1195.0,-90.0,-1285.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,ALTE,-621.0,-650.0,-29.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,ALTW,-202.0,0.0,202.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,AMIL,767.0,58.0,-709.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,CIN,-1218.0,291.0,1509.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,CPLE,1016.0,3.0,-1013.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,CPLW,-199.0,0.0,199.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,CWLP,-9.0,0.0,9.0
2015-01-19 09:00:00,2015-01-19 04:00:00,2015-01-19 10:00:00,2015-01-19 05:00:00,DUK,-200.0,169.0,369.0
