datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,AEP-C,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,AEP-P,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,ALEX,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,ALTE,-898.0,-26.0,-872.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,ALTW,-245.0,0.0,-245.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,ALWX,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,AMIL,1397.0,310.0,1087.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,APS,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,CIN,-668.0,-100.0,-568.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,CPLE,1654.0,0.0,1654.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,CPLW,-90.0,0.0,-90.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,CWLP,-119.0,0.0,-119.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,DUK,103.0,189.0,-86.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,FE,0.0,0.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,HUDS,-9.0,-9.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,IPL,-97.0,21.0,-118.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,LAGN,0.0,1044.0,-1044.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,LGEE,285.0,174.0,111.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,LIND,-321.0,-321.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,MEC,95.0,-299.0,394.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,MECS,-2579.0,-200.0,-2379.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,NEPT,-674.0,-674.0,0.0
2014-03-04 05:00:00,2014-03-04 00:00:00,2014-03-04 06:00:00,2014-03-04 01:00:00,NIPS,-32.0,42.0,-74.0
