datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,ALTE,-252.0,0.0,252.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,ALTW,204.0,-50.0,-254.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,AMIL,323.0,-100.0,-423.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,CIN,-752.0,-550.0,202.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,CPLE,-188.0,67.0,255.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,CPLW,-38.0,0.0,38.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,CWLP,-10.0,0.0,10.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,DUK,107.0,-10.0,-117.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,HUDS,-277.104,-277.104,0.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,IPL,-636.0,-250.0,386.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,LAGN,0.0,0.0,0.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,LGEE,85.0,-86.0,-171.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,LIND,-321.271,-321.271,0.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,MDU,0.0,20.0,20.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,MEC,-484.0,-415.0,69.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,MECS,-433.0,-565.0,-132.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,NEPT,-381.439,-381.439,0.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,NIPS,-1601.0,0.0,1601.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,NYIS,54.967,-242.079,-297.046
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,SIGE,30.0,0.0,-30.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,TVA,475.0,0.0,-475.0
2021-03-18 04:00:00,2021-03-18 00:00:00,2021-03-18 05:00:00,2021-03-18 01:00:00,WEC,884.0,-94.0,-978.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,ALTE,-469.0,-157.0,312.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,ALTW,232.0,-100.0,-332.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,AMIL,570.0,-100.0,-670.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,CIN,-733.0,-695.0,38.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,CPLE,-117.0,-16.0,101.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,CPLW,-6.0,0.0,6.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,CWLP,-33.0,0.0,33.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,DUK,303.0,85.0,-218.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,HUDS,-282.54,-282.54,0.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,IPL,-512.0,-275.0,237.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,LAGN,0.0,0.0,0.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,LGEE,200.0,-86.0,-286.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,LIND,-309.406,-309.406,0.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,MDU,0.0,9.0,9.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,MEC,-187.0,-415.0,-228.0
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,MECS,-1645.0,-501.5,1143.5
2021-03-18 05:00:00,2021-03-18 01:00:00,2021-03-18 06:00:00,2021-03-18 02:00:00,NEPT,-381.405,-381.405,0.0
