datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,AEP-C,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,AEP-P,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,ALEX,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,ALTE,-771.0,-25.0,-746.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,ALTW,-322.0,0.0,-322.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,ALWX,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,AMIL,1012.0,58.0,954.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,APS,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,CIN,-692.0,0.0,-692.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,CPLE,1289.0,147.0,1142.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,CPLW,-326.0,0.0,-326.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,CWLP,-47.0,0.0,-47.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,DUK,-624.0,-895.0,271.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,FE,0.0,0.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,HUDS,-6.0,-6.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,IPL,122.0,-325.0,447.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,LAGN,0.0,493.0,-493.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,LGEE,316.0,300.0,16.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,LIND,-61.0,-61.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,MEC,-371.0,-640.0,269.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,MECS,-1121.0,42.0,-1163.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,NEPT,-665.0,-665.0,0.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,NIPS,-646.0,200.0,-846.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,NYIS,-352.0,-407.0,55.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,OVEC,1226.0,899.0,327.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,SIGE,1.0,0.0,1.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,TVA,340.0,124.0,216.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,WEC,852.0,-90.0,942.0
2014-06-11 04:00:00,2014-06-11 00:00:00,2014-06-11 05:00:00,2014-06-11 01:00:00,WECX,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,AEP-C,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,AEP-P,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,ALEX,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,ALTE,-793.0,-200.0,-593.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,ALTW,-186.0,0.0,-186.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,ALWX,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,AMIL,1298.0,58.0,1240.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,APS,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,CIN,-648.0,-244.0,-404.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,CPLE,1022.0,147.0,875.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,CPLW,-310.0,0.0,-310.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,CWLP,-36.0,0.0,-36.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,DUK,-469.0,-1000.0,531.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,FE,0.0,0.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,HUDS,-79.0,-79.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,IPL,166.0,-190.0,356.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,LAGN,0.0,410.0,-410.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,LGEE,318.0,351.0,-33.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,LIND,-3.0,-3.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,MEC,-252.0,-642.0,390.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,MECS,-1312.0,550.0,-1862.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,NEPT,-411.0,-411.0,0.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,NIPS,-676.0,235.0,-911.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,NYIS,-401.0,-284.0,-117.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,OVEC,1192.0,772.0,420.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,SIGE,6.0,0.0,6.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,TVA,480.0,124.0,356.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,WEC,622.0,-90.0,712.0
2014-06-11 05:00:00,2014-06-11 01:00:00,2014-06-11 06:00:00,2014-06-11 02:00:00,WECX,0.0,0.0,0.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,AEP-C,0.0,0.0,0.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,AEP-P,0.0,0.0,0.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,ALEX,0.0,0.0,0.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,ALTE,-835.0,-200.0,-635.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,ALTW,-165.0,0.0,-165.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,ALWX,0.0,0.0,0.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,AMIL,1423.0,58.0,1365.0
2014-06-11 06:00:00,2014-06-11 02:00:00,2014-06-11 07:00:00,2014-06-11 03:00:00,APS,0.0,0.0,0.0
