datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,ALTE,-213.0,-75.0,138.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,ALTW,-254.0,0.0,254.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,AMIL,910.0,-31.25,-941.25
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,CIN,-12.0,-112.5,-100.5
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,CPLE,557.0,-9.0,-566.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,CPLW,-73.0,0.0,73.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,CWLP,-58.0,0.0,58.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,DUK,94.0,132.5,38.5
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,HUDS,-436.464,-436.464,0.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,IPL,145.0,0.0,-145.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,LAGN,0.0,0.0,0.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,LGEE,413.0,-72.0,-485.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,LIND,-318.744,-318.744,0.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,MDU,0.0,0.0,0.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,MEC,-856.0,-656.0,200.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,MECS,-2869.0,-500.0,2369.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,NEPT,-381.893,-381.893,0.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,NIPS,-1359.0,0.0,1359.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,NYIS,-878.367,-937.5,-59.133
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,SIGE,15.0,0.0,-15.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,TVA,1062.0,0.0,-1062.0
2021-09-01 04:00:00,2021-09-01 00:00:00,2021-09-01 05:00:00,2021-09-01 01:00:00,WEC,1151.0,0.0,-1151.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,ALTE,-341.0,-340.0,1.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,ALTW,-263.0,0.0,263.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,AMIL,869.0,0.0,-869.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,CIN,-75.0,-100.0,-25.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,CPLE,610.0,65.0,-545.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,CPLW,-61.0,0.0,61.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,CWLP,-45.0,0.0,45.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,DUK,49.0,93.0,44.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,HUDS,-370.32,-370.32,0.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,IPL,98.0,0.0,-98.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,LAGN,0.0,0.0,0.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,LGEE,376.0,-51.0,-427.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,LIND,-320.976,-320.976,0.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,MDU,0.0,0.0,0.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,MEC,-832.0,-654.0,178.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,MECS,-2935.0,-375.0,2560.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,NEPT,-380.223,-380.223,0.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,NIPS,-1263.0,-450.0,813.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,NYIS,-907.299,-924.25,-16.951
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,SIGE,11.0,0.0,-11.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,TVA,1048.0,0.0,-1048.0
2021-09-01 05:00:00,2021-09-01 01:00:00,2021-09-01 06:00:00,2021-09-01 02:00:00,WEC,824.0,0.0,-824.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,ALTE,-346.0,-520.0,-174.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,ALTW,-217.0,0.0,217.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,AMIL,613.0,-56.25,-669.25
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,CIN,-305.0,-100.0,205.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,CPLE,607.0,62.0,-545.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,CPLW,-53.0,0.0,53.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,CWLP,-30.0,0.0,30.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,DUK,54.0,89.0,35.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,HUDS,-465.744,-465.744,0.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,IPL,-88.0,0.0,88.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,LAGN,0.0,0.0,0.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,LGEE,283.0,-49.0,-332.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,LIND,-320.947,-320.947,0.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,MDU,0.0,0.0,0.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,MEC,-830.0,-654.0,176.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,MECS,-2581.0,-500.0,2081.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,NEPT,-381.834,-381.834,0.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,NIPS,-1207.0,-450.0,757.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,NYIS,-911.263,-970.0,-58.737
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,SIGE,8.0,0.0,-8.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,TVA,1085.0,0.0,-1085.0
2021-09-01 06:00:00,2021-09-01 02:00:00,2021-09-01 07:00:00,2021-09-01 03:00:00,WEC,708.0,0.0,-708.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,ALTE,-363.0,-520.0,-157.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,ALTW,-220.0,0.0,220.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,AMIL,521.0,-72.75,-593.75
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,CIN,-363.0,-100.0,263.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,CPLE,641.0,-21.0,-662.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,CPLW,-43.0,0.0,43.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,CWLP,-23.0,0.0,23.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,DUK,106.0,188.0,82.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,HUDS,-465.768,-465.768,0.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,IPL,-122.0,0.0,122.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,LAGN,0.0,0.0,0.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,LGEE,258.0,-49.0,-307.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,LIND,-320.926,-320.926,0.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,MDU,0.0,0.0,0.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,MEC,-790.0,-654.0,136.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,MECS,-2280.0,-500.0,1780.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,NEPT,-381.906,-381.906,0.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,NIPS,-1234.0,-450.0,784.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,NYIS,-831.57,-892.5,-60.93
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,SIGE,2.0,0.0,-2.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,TVA,1129.0,0.0,-1129.0
2021-09-01 07:00:00,2021-09-01 03:00:00,2021-09-01 08:00:00,2021-09-01 04:00:00,WEC,465.0,0.0,-465.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,ALTE,-391.0,-520.0,-129.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,ALTW,-242.0,0.0,242.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,AMIL,640.0,-95.75,-735.75
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,CIN,-386.0,-100.0,286.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,CPLE,653.0,-17.0,-670.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,CPLW,-45.0,0.0,45.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,CWLP,-20.0,0.0,20.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,DUK,119.0,188.0,69.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,HUDS,-357.168,-357.168,0.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,IPL,-115.0,0.0,115.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,LAGN,0.0,0.0,0.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,LGEE,233.0,-49.0,-282.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,LIND,-320.94,-320.94,0.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,MDU,0.0,0.0,0.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,MEC,-771.0,-654.0,117.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,MECS,-2261.0,-500.0,1761.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,NEPT,-381.88,-381.88,0.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,NIPS,-1257.0,-450.0,807.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,NYIS,-824.7,-878.5,-53.8
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,SIGE,4.0,0.0,-4.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,TVA,1219.0,0.0,-1219.0
2021-09-01 08:00:00,2021-09-01 04:00:00,2021-09-01 09:00:00,2021-09-01 05:00:00,WEC,346.0,0.0,-346.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,ALTE,-385.0,-520.0,-135.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,ALTW,-231.0,0.0,231.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,AMIL,700.0,-71.5,-771.5
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,CIN,-453.0,-100.0,353.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,CPLE,699.0,-25.0,-724.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,CPLW,-63.0,0.0,63.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,CWLP,-30.0,0.0,30.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,DUK,66.0,163.0,97.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,HUDS,-433.188,-433.188,0.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,IPL,-70.0,0.0,70.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,LAGN,0.0,0.0,0.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,LGEE,286.0,-51.0,-337.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,LIND,-320.94,-320.94,0.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,MDU,0.0,0.0,0.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,MEC,-783.0,-654.0,129.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,MECS,-2571.0,-500.0,2071.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,NEPT,-380.61,-380.61,0.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,NIPS,-1311.0,-450.0,861.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,NYIS,-601.373,-726.5,-125.127
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,SIGE,5.0,0.0,-5.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,TVA,1238.0,0.0,-1238.0
2021-09-01 09:00:00,2021-09-01 05:00:00,2021-09-01 10:00:00,2021-09-01 06:00:00,WEC,482.0,0.0,-482.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,ALTE,-373.0,-520.0,-147.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,ALTW,-262.0,0.0,262.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,AMIL,728.0,-74.0,-802.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,CIN,-372.0,-175.0,197.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,CPLE,694.0,0.0,-694.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,CPLW,-87.0,0.0,87.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,CWLP,-35.0,0.0,35.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,DUK,-50.0,108.0,158.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,HUDS,-444.204,-444.204,0.0
2021-09-01 10:00:00,2021-09-01 06:00:00,2021-09-01 11:00:00,2021-09-01 07:00:00,IPL,45.0,0.0,-45.0
