datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,ALTE,-211.0,-637.5,-426.5
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,ALTW,-284.0,-75.0,209.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,AMIL,-181.0,-100.0,81.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,CIN,-939.0,-815.0,124.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,CPLE,-438.0,10.0,448.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,CPLW,-60.0,0.0,60.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,CWLP,-27.0,0.0,27.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,DUK,335.0,9.0,-326.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,HUDS,-669.36,-669.36,0.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,IPL,-177.0,-300.0,-123.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,LAGN,0.0,0.0,0.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,LGEE,44.0,-89.0,-133.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,LIND,-319.788,-319.788,0.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,MDU,0.0,9.0,9.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,MEC,-698.0,-1006.0,-308.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,MECS,-1065.0,-745.0,320.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,NEPT,-381.468,-381.468,0.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,NIPS,-1067.0,0.0,1067.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,NYIS,-228.07,-105.805,122.265
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,SIGE,0.0,0.0,0.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,TVA,419.0,0.0,-419.0
2021-06-12 04:00:00,2021-06-12 00:00:00,2021-06-12 05:00:00,2021-06-12 01:00:00,WEC,668.0,-94.0,-762.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,ALTE,-343.0,-653.0,-310.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,ALTW,-168.0,0.0,168.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,AMIL,-179.0,-61.5,117.5
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,CIN,-1071.0,-1400.0,-329.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,CPLE,-346.0,61.0,407.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,CPLW,-76.0,0.0,76.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,CWLP,-17.0,0.0,17.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,DUK,274.0,0.0,-274.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,HUDS,-666.732,-666.732,0.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,IPL,-234.0,-175.0,59.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,LAGN,0.0,0.0,0.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,LGEE,-42.0,-68.0,-26.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,LIND,-320.976,-320.976,0.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,MDU,0.0,9.0,9.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,MEC,-650.0,-856.0,-206.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,MECS,-1323.0,-942.5,380.5
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,NEPT,-381.45,-381.45,0.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,NIPS,-1159.0,0.0,1159.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,NYIS,-281.186,-6.906,274.28
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,SIGE,0.0,0.0,0.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,TVA,475.0,0.0,-475.0
2021-06-12 05:00:00,2021-06-12 01:00:00,2021-06-12 06:00:00,2021-06-12 02:00:00,WEC,819.0,-144.0,-963.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,ALTE,-272.0,-650.0,-378.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,ALTW,-87.0,0.0,87.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,AMIL,-59.0,-4.25,54.75
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,CIN,-1164.0,-1600.0,-436.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,CPLE,-249.0,100.0,349.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,CPLW,-62.0,0.0,62.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,CWLP,-8.0,0.0,8.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,DUK,327.0,-29.0,-356.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,HUDS,-463.224,-463.224,0.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,IPL,-347.0,-175.0,172.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,LAGN,0.0,0.0,0.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,LGEE,-126.0,-68.0,58.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,LIND,-321.012,-321.012,0.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,MDU,0.0,12.0,12.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,MEC,-648.0,-856.0,-208.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,MECS,-1743.0,-754.5,988.5
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,NEPT,-381.514,-381.514,0.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,NIPS,-1355.0,0.0,1355.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,NYIS,-643.929,-642.31,1.619
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,SIGE,0.0,0.0,0.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,TVA,529.0,0.0,-529.0
2021-06-12 06:00:00,2021-06-12 02:00:00,2021-06-12 07:00:00,2021-06-12 03:00:00,WEC,1070.0,-144.0,-1214.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,ALTE,-274.0,-650.0,-376.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,ALTW,-46.0,0.0,46.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,AMIL,2.0,-84.75,-86.75
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,CIN,-1211.0,-1550.0,-339.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,CPLE,-297.0,121.0,418.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,CPLW,-58.0,0.0,58.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,CWLP,-7.0,0.0,7.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,DUK,373.0,-28.0,-401.0
2021-06-12 07:00:00,2021-06-12 03:00:00,2021-06-12 08:00:00,2021-06-12 04:00:00,HUDS,-459.12,-459.12,0.0
